2000,Anguilla 1957 / British West Indies Grid,projected
2001,Antigua 1943 / British West Indies Grid,projected
2002,Dominica 1945 / British West Indies Grid,projected
2003,Grenada 1953 / British West Indies Grid,projected
2004,Montserrat 1958 / British West Indies Grid,projected
2005,St. Kitts 1955 / British West Indies Grid,projected
2006,St. Lucia 1955 / British West Indies Grid,projected
2007,St. Vincent 45 / British West Indies Grid,projected
2009,NAD27(CGQ77) / SCoPQ zone 3,projected
2010,NAD27(CGQ77) / SCoPQ zone 4,projected
2011,NAD27(CGQ77) / SCoPQ zone 5,projected
2012,NAD27(CGQ77) / SCoPQ zone 6,projected
2013,NAD27(CGQ77) / SCoPQ zone 7,projected
2014,NAD27(CGQ77) / SCoPQ zone 8,projected
2015,NAD27(CGQ77) / SCoPQ zone 9,projected
2016,NAD27(CGQ77) / SCoPQ zone 10,projected
2017,NAD27(76) / MTM zone 8,projected
2018,NAD27(76) / MTM zone 9,projected
2019,NAD27(76) / MTM zone 10,projected
2020,NAD27(76) / MTM zone 11,projected
2021,NAD27(76) / MTM zone 12,projected
2022,NAD27(76) / MTM zone 13,projected
2023,NAD27(76) / MTM zone 14,projected
2024,NAD27(76) / MTM zone 15,projected
2025,NAD27(76) / MTM zone 16,projected
2026,NAD27(76) / MTM zone 17,projected
2027,NAD27(76) / UTM zone 15N,projected
2028,NAD27(76) / UTM zone 16N,projected
2029,NAD27(76) / UTM zone 17N,projected
2030,NAD27(76) / UTM zone 18N,projected
2031,NAD27(CGQ77) / UTM zone 17N,projected
2032,NAD27(CGQ77) / UTM zone 18N,projected
2033,NAD27(CGQ77) / UTM zone 19N,projected
2034,NAD27(CGQ77) / UTM zone 20N,projected
2035,NAD27(CGQ77) / UTM zone 21N,projected
2039,Israel / Israeli TM Grid,projected
2040,Locodjo 1965 / UTM zone 30N,projected
2041,Abidjan 1987 / UTM zone 30N,projected
2042,Locodjo 1965 / UTM zone 29N,projected
2043,Abidjan 1987 / UTM zone 29N,projected
2044,Hanoi 1972 / Gauss-Kruger zone 18,projected
2045,Hanoi 1972 / Gauss-Kruger zone 19,projected
2046,Hartebeesthoek94 / Lo15,projected
2047,Hartebeesthoek94 / Lo17,projected
2048,Hartebeesthoek94 / Lo19,projected
2049,Hartebeesthoek94 / Lo21,projected
2050,Hartebeesthoek94 / Lo23,projected
2051,Hartebeesthoek94 / Lo25,projected
2052,Hartebeesthoek94 / Lo27,projected
2053,Hartebeesthoek94 / Lo29,projected
2054,Hartebeesthoek94 / Lo31,projected
2055,Hartebeesthoek94 / Lo33,projected
2056,CH1903+ / LV95,projected
2057,Rassadiran / Nakhl e Taqi,projected
2058,ED50(ED77) / UTM zone 38N,projected
2059,ED50(ED77) / UTM zone 39N,projected
2060,ED50(ED77) / UTM zone 40N,projected
2061,ED50(ED77) / UTM zone 41N,projected
2062,Madrid 1870 (Madrid) / Spain,projected
2065,S-JTSK (Ferro) / Krovak,projected
2066,Mount Dillon / Tobago Grid,projected
2067,Naparima 1955 / UTM zone 20N,projected
